Index,Server,Path,Artist,Album,Song,Genre,Type
39,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,04 Bad Boy.aiff,Rock,Vinyl
40,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,05 I Don't Want to Spoil the Party.aiff,Rock,Vinyl
41,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,06 Words of Love.aiff,Rock,Vinyl
42,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,07 What You're Doing.aiff,Rock,Vinyl
43,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,08 Yes It Is.aiff,Rock,Vinyl
44,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,09 Dizzy Miss Lizzy.aiff,Rock,Vinyl
45,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,10 Tell Me What You See.aiff,Rock,Vinyl
46,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles IV,11 Every Little Thing.aiff,Rock,Vinyl
47,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,01 Roll Over Beethoven.aiff,Rock,Vinyl
48,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,02 Thank You Girl.aiff,Rock,Vinyl
49,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,03 You Really Got A Hold On Me.aiff,Rock,Vinyl
50,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,04 Devil In Her Heart.aiff,Rock,Vinyl
51,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,05 Money.aiff,Rock,Vinyl
52,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,06 You Can't Do That You.aiff,Rock,Vinyl
53,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,07 Long Tall Sally.aiff,Rock,Vinyl
54,OSXAir.home.home,/Users/rduvalwa2/Music/iTunes/iTunes Music/Music,The Beatles,Beatles' Second Album,08 I Call Your Name.aiff,Rock,Vinyl
