"index","artist","album","genre","type"
141,"Cheap Trick","In Color [Bonus Tracks]","Rock","CD"
142,"Chet Atkins and Hank Snow","Reminiscing","Country","Vinyl"
143,"Chicago","Chicago","Rock","Vinyl"
144,"Chicago","Chicago Transit Authority (Remastered)","Rock","Download"
145,"Chick Corea","Expressions","Jazz","CD"
146,"Chuck Berry","The Best of Chuck Berry","Rock","Vinyl"
147,"Chuscales","Gypsy Soul_ New Flamenco","Pop","CD"
148,"Citizen Cope","Every Waking Moment","Rock","CD"
149,"City and Colour","Fragile Bird - Single","Rock","Download"
150,"Clarence Gatermouth Brown","Black Jack","Rock","Download"
151,"Clarence Gatermouth Brown","Blackjack","Rock","Download"
152,"Clarence Gatermouth Brown","Clarence Gatermouth Brown","Rock","Download"
153,"Classics IV","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
154,"Cody Bryant and The Riders Of The Purple Sage","Best of the West","Country","CD"
155,"Cold War Kids","Mine Is Yours (Deluxe Version)","Pop","Download"
156,"Colt Ford","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
157,"Commander Cody & His Lost Planet Airmen","Commander Cody & His Lost Planet Airmen","Rock","Download"
158,"Commander Cody & His Lost Planet Airmen","Lost in the Ozone","Rock","Download"
159,"Cream","Cream","Rock","Download"
160,"Cream","Fresh Cream","Rock","Vinyl"
161,"Cream","The Cream Of Clapton","Rock","CD"
162,"Cream","The Very Best of Cream","Rock","Download"
163,"Creedence Clearwater Revival","Chronicle_ 20 Greatest Hits (24-Karat Gold Disc)","Rock","Vinyl"
164,"Creedence Clearwater Revival","Creedence Gold","Rock","Download"
165,"Crooked Still","Shaken By A Low Sound","BlueGrass","CD"
166,"Crosby, Stills, Nash & Young","4 Way Street (Live)","Rock","Download"
167,"Crosby, Stills, Nash & Young","Crosby, Stills & Nash","Rock","CD"
168,"Dale Hawkins","Suzie Q & Let's All Twist","RockaBilly","Download"
169,"Darius Brubeck","Chaplin's back","Jazz","Vinyl"
170,"Dave Brubeck","New Wine","Jazz","CD"
171,"Dave Brubeck Quartet","Back Home","Jazz","Vinyl"
172,"Dave Brubeck Quartet","Take Five","Jazz","Vinyl"
173,"Dave Edmunds","Rockpile","Rock","Download"
174,"Dave Mason","Alone Together","Rock","Tape"
175,"Dave Mason","Long Lost Friend - The Best of Dave Mason","Rock","Download"
176,"Dave Mason","Split Coconut","Rock","Download"
177,"David Allan Coe","20 All-Time Greatest Hits","Rock","Download"
178,"David Bowie","Best of Bowie","Rock","Download"
179,"David Bromberg Band","Midnight On the Water David Bromberg Band","Rock","Download"
180,"Death Cab for Cutie","Underneath the Sycamore - Single","Pop","Download"
181,"Deep Purple","Machine Head","Rock","Download"
182,"Del Shannon","Little Town Flirt","Rock","Download"
183,"Della Mae","This World Oft Can Be","BlueGrass","Download"
184,"Derek & The Dominos","The Cream Of Clapton","Rock","CD"
185,"Desmond Dekker","Desmond Dekker_ Israelites - The Best of Desmond Dekker","Regae","Download"
186,"Devin Duval","Audition Tape","Jazz","CD"
187,"Devin Duval","Fordham Session","Jazz","CD"
188,"Devin Duval","Senior Recital","Jazz","CD"
189,"Devin Duval","Unknown Album (7_14_2008 9_22_53 PM)","Jazz","CD"
190,"Diego Garcia","You Were Never There - Single","Pop","Download"
191,"Dierks Bentley","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
192,"Dierks Bentley","Up On the Ridge","Country","Download"
193,"Dire Straits","Brothers in Arms","Rock","CD"
194,"Dire Straits","Making Movies","Rock","Vinyl"
195,"Dire Straits","Sultans of Swing - The Very Best of Dire Straits","Rock","Download"
196,"Dixie Chicks","Taking The Long Way","Country","CD"
197,"Dolly Parton","Travelin' Thru - Single","Country","Download"
198,"Don McLean","American Pie","Rock","Download"
199,"Don McLean","Rearview Mirror","Rock","Download"
200,"Donovan","Sunshine Superman","Rock","Download"
201,"Doobie Brothers","Best Of Doobies","Rock","Vinyl"
202,"Doobie Brothers","Cycles","Rock","Vinyl"
203,"Doobie Brothers","One Step Closer","Rock","Vinyl"
204,"Doobie Brothers","Stampede","Rock","Vinyl"
205,"Doobie Brothers","The Captain And Me","Rock","Vinyl"
206,"Doobie Brothers","What Were Vices Are Now Habits","Rock","Vinyl"
207,"Doobie Brothers","World Gone Crazy","Rock","Vinyl"
208,"Dr. John","Goin' Back To New Orleans","Rock","CD"
209,"Dropkick Murphys","Blackout","Rock","Download"
210,"Dropkick Murphys","Do or Die","Rock","Download"
211,"Dropkick Murphys","Dropkick Murphys _ the Business Split Release_ Mob Mentality","Rock","Download"
212,"Dropkick Murphys","Dropkick Murphys_ The Singles Collection, Vol. 1 - 1996-1997","Rock","Download"
213,"Dropkick Murphys","Live On St.Patrick's Day","Rock","Download"
214,"Dropkick Murphys","Sing Loud, Sing Proud!","Rock","Download"
215,"Dropkick Murphys","Tessie - EP","Rock","Download"
216,"Dropkick Murphys","The Departed","Folk","CD"
217,"Dropkick Murphys","The Gang's All Here","Rock","Download"
218,"Dropkick Murphys","The Meanest of Times (Deluxe Edition)","Rock","Download"
219,"Dropkick Murphys","The Singles Collection, Vol. 2","Rock","Download"
220,"Dropkick Murphys","The Warrior's Code","Rock","Download"
221,"Duke Ellington","West Coast Swing","Jazz","Download"
222,"Dvorak","Dvorak's Greatest Hits","Classic","Vinyl"
223,"Eddie Vedder","Longing to Belong - Single","Rock","Download"
224,"Eddie Vedder & The Million Dollar Bashers","I'm Not There [Disc 1]","Folk","CD"
225,"Eilen Jewell","Letters from Sinners & Strangers","Country","Download"
226,"Eldorado","Suitcase","TexMex","Download"
227,"Electric Light Orchestra","Discovery","Rock","Vinyl"
228,"Electric Light Orchestra","Eldorado","Rock","Vinyl"
229,"Electric Light Orchestra","Face The Music","Rock","Vinyl"
230,"Electric Light Orchestra","Out Of The Blue","Rock","CD"
231,"Elton John","Don't Shoot Me I'm Only the Piano Player","Rock","CD"
232,"Elton John","Elton John_ Greatest Hits","Rock","Download"
233,"Elton John","Elton John_ The Greatest Hits 1970-2002","Rock","Download"
234,"Elton John","The Captain & The Kid","Rock","Download"
235,"Elvis Presley","Elvis's Christmas Album","Holiday","Vinyl"
236,"Elvis Presley","The Essential Elvis Presley (Remastered)","Rock","Download"
237,"Emmylou Harris","All I Intended To Be","Country","CD"
238,"Emmylou Harris","Elite Hotel","Country","Vinyl"
239,"Emmylou Harris","Heartaches & Highways_ The Very Best of Emmylou Harris","Country","CD"
240,"Emmylou Harris","Light of the Stable","Country","CD"
241,"Emmylou Harris","Red Dirt Girl","Country","CD"
242,"Emmylou Harris","Singin' With Emmylou Volume 1 (P) 2000","Country","CD"
243,"Emmylou Harris","Wrecking Ball","Country","CD"
244,"Eric Burdon & The Animals","Easy Rider (Soundtrack from the Motion Picture) [Deluxe Edition]","Rock","Download"
245,"Eric Clapton","The Cream Of Clapton","Rock","CD"
246,"Eric Clapton","Unplugged","Rock","CD"
247,"Eric Clapton & B.B. King","Riding With The King","Rock","CD"
248,"Eric Clapton, Jeff Beck & The Yardbirds","The Ultimate Collection (Disc 2)","Rock","Download"
249,"Fleet Foxes","Helplessness Blues","Pop","Download"
250,"Fleetwood Mac","Fleetwood Mac Hits","Rock","Download"
251,"Fleetwood Mac","Peter Green's Fleetwood Mac (Remastered)","Rock","Download"
252,"Fleetwood Mac","Rumours","Rock","Vinyl"
253,"Fleetwood Mac","The Vaudeville Years of Fleetwood Mac - 1968-1970","Rock","Download"
254,"Foghat","Fool for the City","Rock","Download"
255,"Foy Willing & The Riders Of The Purple Sage","Cool Cool Water","Country","Download"
256,"Foy Willing & The Riders Of The Purple Sage","Tumbling Tumbleweeds (10 Timeless Western Songs)","Country","Download"
257,"Francesco de Gregori","Masked And Anonymous","Folk","CD"
258,"Frank Sinatra","Reprise Collection [Disc 4]","Pop","CD"
259,"Frank Sinatra","The Reprise Collection [Disc 1]","Pop","CD"
260,"Frank Sinatra","The Reprise Collection [Disc 2]","Pop","CD"
261,"Frank Sinatra","The Reprise Collection [Disc 3]","Pop","CD"
262,"Freddie Notes & The Rudies","Montego Bay","Regae","Download"
263,"Freddy Fender","Golden Legends_ Freddy Fender Live","TexMex","Download"
264,"Gary Burton, Steve Swallow, Roy Haynes, Tiger Okoshi","Times Square","Jazz","Download"
265,"Gary Lewis & The Playboys","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
266,"Gary Puckett & The Union Gap","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
267,"Generationals","Trust - EP","Pop","Download"
268,"George Harrison","4_ John Paul George Ringo - EP","Rock","Download"
269,"George Harrison","Let It Roll - Songs of George Harrison (Remastered)","Rock","Download"
270,"Gerry Rafferty","City to City","Rock","Download"
271,"Gillian Welch","Hard Times","Pop","Download"
272,"Glasser","Ring (Bonus Track Edition)","Rock","Download"
273,"Glen Campbell & Rita Coolidge","Delta Lady_ The Rita Coolidge Anthology [Disc 2]","Country","CD"
274,"Glen Hansard & Markéta Irglová","I'm Not There [Disc 2]","Folk","CD"
275,"Golden Earring","Moontan","Rock","Download"
276,"Gordon Lightfoot","Gord's Gold","Rock","Vinyl"
277,"Gordon Lightfoot","Summertime Dream","Rock","Download"
278,"Grand Funk Railroad","Grand Funk Railroad Greatest Hits","Rock","Download"
279,"Gregg Allman","Just Another Rider","Rock","Download"
280,"Guns N' Roses","Greatest Hits Guns N' Roses","Rock","Download"
281,"Hair","Hair","Rock","Vinyl"
282,"Hair Musical","Hair","Rock","Vinyl"
283,"Hank Williams","24 of Hank Williams' Greatest Hits","Rock","Download"
284,"Hank Williams, Jr_","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
285,"Hank Williams, Jr_","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
286,"Harry Belafonte","This Is Harry Belafonte","Rock","Vinyl"
287,"Harry Nilsson","Nilsson Schmilsson (Remastered)","Rock","Download"
288,"Harry Nilsson","Personal Best - The Harry Nilsson Anthology","Rock","Download"
289,"Heart","Heart_ Greatest Hits","Rock","Download"
290,"Herbie Hancock","Future 2 Future","Rock","CD"
291,"Hot Tuna","Hot Tuna","Rock","Vinyl"
292,"Howard Shore","The Departed","Folk","CD"
293,"Humble Pie","Town and Country (Bonus Track Version)","Rock","Download"
294,"Ike and Tina Turner","What You Hear Is What You Get","Rock","Vinyl"
295,"Infamous Stringdusters","Fork in the Road","BlueGrass","Download"
296,"Iron & Wine","Tree By The River - Single","Pop","Download"
297,"Iron & Wine With Calexico","I'm Not There [Disc 1]","Folk","CD"
298,"Iron Butterfly","In-A-Gadda-Da-Vida","Rock","CD"
299,"Iron Butterfly & Vanilla Fudge","Iron Butterfly Hits","Rock","Download"
300,"Jack Ingram","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
301,"Jack Johnson","I'm Not There [Disc 2]","Folk","CD"
302,"Jackson Browne","The Very Best of Jackson Browne [Disc 1]","Rock","Download"
303,"Jackson Browne","The Very Best Of Jackson Browne [Disc 2]","Rock","Download"
304,"James Gang","16 Greatest Hits","Rock","Vinyl"
305,"James Gang","James Gang_ Greatest Hits","Rock","Download"
306,"James Otto","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
307,"Jamey Johnson","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
308,"Jan & Dean","The Best of Jan & Dean (Re-recorded Version)","Rock","Download"
309,"Jan & Dean","The Best of Jan & Dean (Re-Recorded Versions)","Rock","Download"
310,"Janis Joplin","Pearl","Rock","Download"
311,"Janis Joplin","Super Hits Janis Joplin","Rock","CD"
312,"Jeff Beck","Wired","Jazz","Download"
313,"Jeff Tweedy","I'm Not There [Disc 1]","Folk","CD"
314,"Jefferson Airplane","Surrealistic Pillow","Rock","Vinyl"
315,"Jeremy Camp","Beyond Measure (Special Edition)","Pop","Download"
316,"Jeremy Camp","Restored","Pop","Download"
317,"Jerry Garcia","Masked And Anonymous","Folk","CD"
318,"Jerry Gonzalez & The Fort Apache Band","Rumba Para Monk","Rock","Download"
319,"Jerry Jeff Walker","20th Century Masters - The Millennium Collection_ The Best of Jerry Jeff Walker","Rock","Download"
320,"Jerry Lee Lewis","I Am What I Am","RockaBilly","Download"
321,"Jerry Lee Lewis","Jerry Lee's Greatest","RockaBilly","Download"
322,"Jesse Cook","Gypsy Soul_ New Flamenco","Pop","CD"
323,"Jesse Thomas","You I Want (Radio Edit) - Single","Rock","Download"
324,"Jessi Colter","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
325,"Jessi Colter & Sunny Sweeney","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
326,"Jewel","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
327,"Jim Croce","Photographs & Memories_ His Greatest Hits","Rock","CD"
328,"Jim James & Calexico","I'm Not There [Disc 1]","Folk","CD"
329,"Jimi Hendrix","Are You Experienced_","Rock","CD"
330,"Jimi Hendrix","Rainbow Bridge","Rock","Vinyl"
331,"Jimi Hendrix","South Saturn Delta","Rock","Vinyl"
332,"Jimmy Buffet","Changes In Latitudes-Havana Day Dreamin","Country","Vinyl"
333,"Jimmy Buffet","Livign And Dying In Three Quarter Time","Country","Vinyl"
334,"Jimmy Buffet","Son Of A Sailor","Country","Vinyl"
335,"Jimmy Witherspoon","Live At the 1972 Monterey Jazz Festival (feat. Robben Ford)","Rock","Download"
336,"Jimmy Witherspoon","The Best Of Jimmy Witherspoon","Rock","Vinyl"
337,"Joan Baez","1st 10 years","Folk","Vinyl"
338,"Joan Baez","Any Day  Now","Folk","Vinyl"
339,"Joan Baez","Blessed Are","Folk","Vinyl"
340,"Joan Baez","Farewell, Angelina","Folk","Vinyl"
341,"Joan Baez","Gulf Winds(8_29_2004 1_30_11 PM)","Folk","Vinyl"
342,"Joan Baez","Noel","Folk","Vinyl"
343,"Joe Cocker","I Can Stand A Little Rain","Rock","Vinyl"
344,"Joe Cocker","Joe Cocker's Greatest Hits","Rock","Vinyl"
345,"Joe Cocker","You Are So Beautiful","Rock","Vinyl"
346,"Joe Henderson","The Elements","Rock","Download"
347,"Joe Louis Walker","J.L.W_","Rock","CD"
348,"Joe Walsh","Joe Walsh's Greatest Hits_ Little Did He Know.._","Rock","Download"
349,"John Coltrane","Blue Train [Expanded Edition]","Jazz","CD"
350,"John Coltrane","Coltrane Live At the Village Vangard Again!","Jazz","Vinyl"
351,"John Coltrane","Coltrane Live at the Village Vangaurd Again!","Jazz","Vinyl"
352,"John Coltrane","Coltrane_Prestige 7105","Jazz","Vinyl"
353,"John Coltrane","Giant Steps","Jazz","Vinyl"
354,"John Coltrane","Jazz Manifesto","Jazz","Vinyl"
355,"John Coltrane","John Coltrane His Greatest Years","Jazz","Vinyl"
356,"John Coltrane","Live in Seattle [Disc 1]","Jazz","CD"
357,"John Coltrane","Live In Seattle [Disc 2]","Jazz","CD"
358,"John Coltrane","My Favorite Things","Jazz","Vinyl"
359,"John Coltrane & Johnny Hartman","John Coltrane & Johnny Hartman","Jazz","Vinyl"
360,"John Coltrane and Johnny Hartman","John Coltrane and Johnny Hartman","Jazz","Vinyl"
361,"John Doe","I'm Not There [Disc 1]","Folk","CD"
362,"John Doe","I'm Not There [Disc 2]","Folk","CD"
363,"John Fahey","The Best of John Fahey 1959-1977 (Remastered)","Rock","Download"
364,"John Fahey & His Orchestra","Of Rivers and Religion _ After the Ball","Rock","Download"
365,"John Hiatt","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
366,"John Lee Hooker","Live at the Café au-Go-Go (and Soledad Prison)","Rock","Download"
367,"John Lee Hooker","Urban Blues (Bonus Track Version)","Rock","Download"
368,"John Lennon","Imagine","Rock","Vinyl"
369,"John Lennon","Lennon Legend The Very Best of John Lennon","Rock","CD"
370,"John Lennon","Rock 'N' Roll","Rock","Vinyl"
371,"John Lennon","Working Class Hero The Definitive Lennon","Rock","Download"
372,"John Lennon & The Plastic Ono Band","4_ John Paul George Ringo - EP","Rock","Download"
373,"John Mayall","Back to the Roots Disc 1","Blues","CD"
374,"John Mayall","Back to the Roots Disc 2","Blues","CD"
375,"John Mayall","Drivin' On_ The ABC Years (1975-1982) Disc 1","Blues","CD"
376,"John Mayall","Drivin' On_ The ABC Years (1975-1982) Disc 2","Blues","CD"
377,"John Mayall & The Bluesbreakers","In the Palace of the King (A Tribute to Freddie King)","Blues","Download"
378,"John Mayall & The Bluesbreakers","Padlock On The Blues","Blues","Download"
379,"John Prine","In Spite of Ourselves","Folk","CD"
380,"John Prine","John Prine","Folk","CD"
381,"John Prine","Lost Dogs and Mixed Blessings","Folk","CD"
382,"Johnny Cash","Classic Country Hits of the 1960s with Songs","Country","Download"
383,"Johnny Cash","Sunday Morning Coming Down","Country","Vinyl"
384,"Johnny Mathis","Merry Christmas","Holiday","Download"
385,"Johnny Nash","Radio Hits of the '70s","Rock","Download"
386,"Johnny Rivers","Greatest Hits Johnny Rivers","Rock","Download"
387,"Johnny Rivers","Johnny Rivers_ Greatest Hits","Rock","Download"
388,"Johnny Winter","2nd Winter","Blues","Vinyl"
389,"Johnny Winter","I'm a Bluesman","Blues","CD"
390,"Johnny Winter","Roots","Blues","CD"
391,"Johnny Winter","Step Back","Blues","CD"
392,"Johnny Winter","Still Alive and Well","Blues","CD"
393,"Johnny Winter","The Best of Johnny Winter","Blues","CD"
394,"Johnny Winter","The Progressive Blues Experiment","Blues","CD"
395,"Jose Luis Encinas","Gypsy Soul_ New Flamenco","Pop","CD"
396,"José Feliciano","Feliz Navidad","Holiday","Vinyl"
397,"José Feliciano","Fireworks","Rock","Download"
398,"Josh Rouse","El Turista (Bonus Track Version)","Pop","Download"
399,"Josh Thompson","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
400,"Journey","Journey_ Greatest Hits","Rock","Download"
401,"Judy Collins","Judy Collins","Folk","Vinyl"
402,"Julio Iglesias","Tango","Classic","Download"
403,"Junip","Fields","Pop","Download"
404,"Justin Moore","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
405,"k.d. lang and the Siss Boom Bang","A Sleep With No Dreaming - Single","Pop","Download"
406,"Kansas","Point of Know Return","Rock","Download"
407,"Kansas","The Best of Kansas","Rock","Download"
408,"Kansas","Vinyl Confessions","Rock","Download"
409,"Karen O & The Million Dollar Bashers","I'm Not There [Disc 1]","Folk","CD"
410,"Keith Jarrett","La Scala","Jazz","CD"
411,"Keith Jarrett","Solo Concerts_ Bremen [Live]","Jazz","CD"
412,"Keith Jarrett","Solo Concerts_ Lausanne [Disc 2]","Jazz","CD"
413,"Keith Jarrett","Vienna Concert [Live]","Jazz","CD"
414,"Kris Kristofferson","Delta Lady _ The Anthology","Country","CD"
415,"Kris Kristofferson","Kristofferson","Country","CD"
416,"Kris Kristofferson","Silver Tongued Devil And I","Country","Vinyl"
417,"Kris Kristofferson & Patty Griffin","The Music Inside - A Collaboration Dedicated to Waylon Jennings, Vol. 1","Country","CD"
418,"Kris Kristofferson & Rita Coolidge","Delta Lady_ The Rita Coolidge Anthology [Disc 2]","Country","CD"
419,"LaVern Baker","The Departed","Folk","CD"
420,"Led Zeppelin","Mothership (Remastered)","Rock","Download"
421,"Led Zeppelin","Physical Graffiti (Remastered)","Rock","Download"
422,"Led Zeppelin","The Song Remains the Same Disc 1","Rock","CD"
423,"Led Zeppelin","The Song Remains the Same Disc 2","Rock","CD"
424,"Leo Kottke","Leo Kottke-John Fahey-Peter Lang","Pop","Vinyl"
425,"Les McCann","Live At Montreux","Jazz","Download"
426,"Lesley Gore","It's My Party_ The Mercury Anthology","Rock","Download"
427,"Less McCann and Eddie Harris","Swiss Movement","Jazz","Vinyl"
428,"Lester Young","Mean To Me","Jazz","Vinyl"
429,"Linda Ronstadt","Don't Cry Now","Country","CD"
430,"Linda Ronstadt","Heart Like A Wheel","Country","Vinyl"
431,"Linda Ronstadt","Simple Dreams","Country","CD"
432,"Little Dragon","Ritual Union","Rock","Download"
433,"Little Eva","The Loco-Motion","Rock","Download"
434,"Little Richard","The Georgia Peach","Rock","Download"
435,"Little River Band","Rearranged","Rock","Download"
436,"Lloyd Price","50's Rock","Rock","Tape"
437,"Loggins And Messina","Loggins And Messina","Rock","Download"
438,"Loreena McKennitt","A Midwinter Night's Dream","Holiday","CD"
439,"Lori McKenna","Bittertown","Rock","Download"
440,"Los Bravos","Los Bravos Single","Rock","Vinyl"
441,"Los Lobos","I'm Not There [Disc 1]","TexMex","CD"
442,"Los Lobos","La Bamba (Original Motion Picture Soundtrack)","TexMex","Download"
443,"Los Lobos","Los Lobos_ Live at the Fillmore","TexMex","Download"
444,"Los Lobos","Masked And Anonymous","TexMex","CD"
445,"Lou Reed","Transformer","Rock","Download"
446,"Lovin Spoonful","Lovin Spoonful Anthology","Rock","CD"
447,"Lynyrd Skynyrd","Gimme Back My Bullets","Country","Vinyl"
448,"Lynyrd Skynyrd","One From The Road","Country","Vinyl"
449,"Madeleine Peyroux","The Blue Room","Pop","Download"
450,"Magokoro Brothers","Masked And Anonymous","Folk","CD"
451,"Mannheim Steamroller","Christmas","Holiday","CD"
452,"Marcus Carl Franklin","I'm Not There [Disc 2]","Folk","CD"
453,"Mark Knopfler","Golden Heart","Rock","Download"
454,"Mark Knopfler","Sailing To Philadelphia","Rock","Download"
455,"Mark Knopfler","The Ragpicker's Dream","Rock","Download"
456,"Mark Knopfler & Emmylou Harris","This Is Us","Rock","Download"
457,"Mark Knopfler_Emmylou Harris","All the Road Running","Rock","Download"
458,"Mark Lanegan","I'm Not There [Disc 1]","Folk","CD"
459,"Mark Lanegan","More Oar_ A Tribute to the Skip Spence Album","Rock","Download"
460,"Mark Lindsey, Paul Revere & The Raiders","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
461,"Mark O'Connor","Heroes","Jazz","CD"
462,"Mark O'Connor","Liberty","Jazz","CD"
463,"Mark O'Connor","Midnight on the Water","Jazz","CD"
464,"Mark O'Connor","Retrospective","Jazz","CD"
465,"Mark O'Connor","The New Nashville Cats","Jazz","CD"
466,"Martha Reeves & The Vandellas","The Ultimate Collection_ Martha Reeves & The Vandellas","Rock","Download"
467,"Marty Robbins","Gunfighter Ballads and Trail Songs","Country","Download"
468,"Marty Robbins","Marty Robbins' All-Time Greatest Hits","Country","Download"
469,"Marty Robbins","Marty Robbins_ More Greatest Hits","Country","Download"
470,"Marty Robbins","The Essential Marty Robbins (1951-1982)","Country","Download"
471,"Marvin Gaye","Marvin Gaye's Greatest Hits","Soul","Download"
472,"Marvin Gaye","Marvin Gaye_ Gold","Soul","Download"
473,"Mason Jennings","I'm Not There [Disc 1]","Folk","CD"
474,"Mason Jennings","I'm Not There [Disc 2]","Folk","CD"
475,"Mason Williams","Music - 1968-1971","Rock","Download"
476,"Matt Nathanson","Faster - Single","Rock","Download"
477,"Mavis Staples","You Are Not Alone - Single","Rock","Download"
478,"Men At Work","Driving Music","Rock","Tape"
479,"Michael Brecker","City Scape","Jazz","Vinyl"
480,"Michael Brecker","CityScape","Jazz","Vinyl"
481,"Michael Brecker","Michael Brecker","Jazz","Vinyl"
482,"Michael Martin Murphey","Cowboy Songs 3","Country","CD"
483,"Micheal Brecker","Cityscape","Jazz","Vinyl"
484,"Miguel De La Bastide","Gypsy Soul_ New Flamenco","Pop","CD"
485,"Miles Band Davis_Sonny Rollins","Mambo Bounce","Jazz","CD"
486,"Miles Davis","Birth of the Cool","Jazz","Vinyl"
487,"Miles Davis","Bitches Brew Disc 1","Jazz","Vinyl"
488,"Miles Davis","Bitches Brew Disc 2","Jazz","Vinyl"
489,"Miles Davis","Classic Ballads","Jazz","Vinyl"
490,"Miles Davis","Filles De Kilimanjaro","Jazz","Vinyl"
491,"Miles Davis","Kind Of Blue","Jazz","Vinyl"
492,"Miles Davis","Milestones","Jazz","Vinyl"
493,"Miles Davis","Workin' With The Miles Davis Quintet","Jazz","Vinyl"
494,"Miles Davis Quintet","Workin' With The Miles Davis Quintet","Jazz","Vinyl"
495,"Miles Davis Sextet_Sonny Rollins","Mambo Bounce","Jazz","CD"
496,"Miles Davis_Sonny Rollins","Mambo Bounce","Jazz","CD"
497,"Mira Billotte","I'm Not There [Disc 2]","Folk","CD"
498,"Mitch Ryder & The Detroit Wheels","The Best of Mitch Ryder & the Detroit Wheels","Rock","Download"
499,"Monsters Of Folk","Monsters Of Folk","Folk","CD"
500,"Montgomery Gentry","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
501,"Moody Blues","Days Of Future Passed","Rock","Vinyl"
502,"Moody Blues","In Search Of the Lost Chord","Rock","Vinyl"
503,"Moody Blues","To Our Children's Children's Children","Rock","Vinyl"
504,"Mountain Heart","Road That Never Ends_ The Live Album","BlueGrass","CD"
505,"Muddy Waters","Authorized Bootleg - Fillmore Auditorium, San Francisco Nov. 4-6 1966","Blues","Download"
506,"Muddy Waters","Hard Again","Blues","Download"
507,"Mungo Jerry","The Sunshine Collection","Rock","Download"
508,"Mungo Jerry","The Very Best of Mungo Jerry","Rock","Download"
509,"Nashville Teens","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
510,"Nashville Teens","Love Is The Answer","Rock","Download"
511,"Nat _King_ Cole","The Christmas Song","Holiday","Download"
512,"Neil Sedaka","Love Songs_ Neil Sedaka","Rock","Download"
513,"Neko Case","Blacklisted","Country","CD"
514,"Neko Case","Furnace Room Lullaby","Country","CD"
515,"Neko Case","Middle Cyclone","Country","CD"
516,"New Riders of the Purple Sage","Boston Music Hall - December 5, 1972","Rock","Download"
517,"New Riders of the Purple Sage","New Riders of the Purple Sage","Rock","Download"
518,"New Riders of the Purple Sage","The Adventures of Panama Red","Rock","Download"
519,"New Riders of the Purple Sage","The Best of New Riders of the Purple Sage","Rock","Download"
520,"Nine Black Alps","Everything Is","Rock","Download"
521,"Nirvana","Incesticide","Rock","CD"
522,"Nitty Gritty Dirt Band","Dirt Siver Gold","Rock","Download"
523,"Noam Chomsky","On State Sponsored Terrorism","Talk","Download"
524,"Norah Jones","Come Away With Me","Rock","CD"
525,"North Mississippi Allstars","51 Phantom","Rock","Download"
526,"North Mississippi Allstars","Shake Hands With Shorty","Rock","Download"
527,"Oliver Kane","Shamrock Melodies","Classic","Download"
528,"Olivia Newton-John","Olivia Newton-John","Rock","Download"
529,"Oscar Lopez","Gypsy Soul_ New Flamenco","Pop","CD"
530,"Oscar Peterson","Night Train","Rock","Download"
531,"Ottmar Liebert","Gypsy Soul_ New Flamenco","Pop","CD"
532,"Ottmar Liebert","Leaning into the Night","Pop","CD"
533,"Ottmar Liebert","Solo Para Ti","Pop","CD"
534,"Ottmar Liebert","Surrender 2 Love_ The Best of Ottmar Liebert, Vol. 2","Pop","CD"
535,"Ottmar Liebert_Luna Negra","Euphoria","Pop","CD"
536,"Paco De Lucía","Gypsy Soul_ New Flamenco","Pop","CD"
537,"Parts & Labor","Constant Future","Pop","Download"
538,"Pat Green","The Music Inside_ A Collaboration Dedicated To Waylon Jennings, Volume II","Country","CD"
539,"Pat Metheny","80_81","Jazz","Vinyl"
540,"Pat Metheny","One Quiet Night","Jazz","CD"
541,"Pat Metheny Group","American Garage","Jazz","Vinyl"
542,"Pat Metheny Trio","Trio Live Disc 1","Jazz","CD"
543,"Pat Metheny Trio","Trio Live Disc 2","Jazz","CD"
544,"Patsy Cline","Patsy Cline's Greatest Hits (Remastered)","Country","CD"
545,"Patsy Cline","The Departed","Folk","CD"
