"index","artist","album","genre","type"
741,"The Gentrys","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
742,"The Grass Roots","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
743,"The Grateful Dead","American Beauty","Rock","CD"
744,"The Grateful Dead","Masked And Anonymous","Folk","CD"
745,"The Grateful Dead","The Grateful Dead (Skull & Roses)","Rock","Download"
746,"The Grateful Dead","Two from the Vault Disc 1","Rock","CD"
747,"The Grateful Dead","Two from the Vault Disc 2","Rock","CD"
748,"The Grateful Dead","What A Long Strange Trip","Rock","Download"
749,"The Guess Who","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
750,"The Guess Who","American Woman","Rock","CD"
751,"The Guess Who","Rockin Guess Who","Rock","Vinyl"
752,"The Guess Who","Shakin' All Over","Rock","Download"
753,"The Guess Who","The Guess Who_ Greatest Hits","Rock","Download"
754,"The Handsome Family","Scattered","Rock","Download"
755,"The Handsome Family","Singing Bones","Rock","Download"
756,"The Hold Steady","I'm Not There [Disc 2]","Folk","CD"
757,"The Hollies","The Hollies' Greatest Hits","Rock","Download"
758,"The Human Beinz","The Departed","Folk","CD"
759,"The Jazz Crusaders","Crusaders 1","Jazz","Vinyl"
760,"The Jazz Crusaders","Free As The Wind","Jazz","Vinyl"
761,"The Jazz Crusaders","Live at the Lighthouse '66","Jazz","Download"
762,"The Jazz Crusaders","Southern Comfort","Jazz","Vinyl"
763,"The Jazz Crusaders","The Best of the Jazz Crusaders","Jazz","Vinyl"
764,"The Jazz Crusaders","The Best Of The Jazz Crusaders 1961 - 1965","Jazz","Download"
765,"The Kingsmen","The Best of the Kingsmen","Rock","Download"
766,"The Kingston Trio","Absolutely The Best","Rock","CD"
767,"The Kinks","Kinks","Rock","Vinyl"
768,"The Kinks","Kinks-Size","Rock","Download"
769,"The Kinks","Lola Versus Powerman And The Moneygoround, Part One","Rock","Download"
770,"The Kinks","Pirate Radio (Motion Picture Soundtrack) [Deluxe Version]","Rock","Download"
771,"The Knack","My Sharona _ Good Girls Don't (Re-Recorded) - Single","Rock","Download"
772,"The Left Banke","There's Gonna Be a Storm - The Complete Recordings 1966-1969","Rock","Download"
773,"The Mamas & The Papas","The Mamas & The Papas Greatest Hits","Rock","Download"
774,"The Mamas & The Papas","The Mamas & The Papas Greatest Hits","Rock","Download"
775,"The Marketts","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
776,"The Marshall Tucker Band","Long Hard Ride","Rock","Download"
777,"The Marshall Tucker Band","Running With The Wind","Rock","Download"
778,"The Marshall Tucker Band","The Marshall Tucker Band_ Live On Long Island - 4-18-80","Rock","Download"
779,"The Mavericks","20th Century Masters - The Millennium Collection_ The Best of the Mavericks","TexMex","Download"
780,"The Mavericks","Rancho Loco","TexMex","Download"
781,"The Outsiders","20th Century Rocks_ 60's Rock Bands - Wild Thing (Re-Recorded Versions)","Rock","Download"
782,"The Overton Berry Trio","Live at Admiral","Jazz","Download"
783,"The Overton Berry Trio","Wheedle's Groove_ Seattle's Finest in Funk & Soul 1965-75","Jazz","Download"
784,"The Paul Butterfield Blues Band","Butterfield Blues Band Live","Blues","Vinyl"
785,"The Paul Butterfield Blues Band","East-West","Blues","Vinyl"
786,"The Paul Butterfield Blues Band","The Butterfield Blues Band Live","Blues","Vinyl"
787,"The Paul Butterfield Blues Band","The Paul Butterfield Blues Band","Blues","Vinyl"
788,"The Pointer Sisters","Breakout","Rock","Vinyl"
789,"The Police","The Police (Remastered)","Rock","Download"
790,"The Quintet","V.S.O.P","Rock","Download"
791,"The Rascals","Essentials_ The Rascals","Rock","Download"
792,"The Rascals","Time Peace_ The Rascals' Greatest Hits","Rock","Download"
793,"The Rascals & The Young Rascals","The Young Rascals","Rock","Download"
794,"The Righteous Brothers","Anthology 1962-1974 [Disc 2]","Rock","CD"
795,"The Righteous Brothers","Anthology_ 1962-1974 [Disc 1]","Rock","CD"
796,"The Rolling Stones","Singles Collection_ The London Years [Disc 1]","Rock","CD"
797,"The Rolling Stones","Singles Collection_ The London Years [Disc 2]","Rock","CD"
798,"The Rolling Stones","Singles Collection_ The London Years [Disc 3]","Rock","CD"
799,"The Rolling Stones","The Departed","Rock","CD"
800,"The Searchers","The Very Best of... The Searchers","Rock","Download"
801,"The Seeds","The Seeds","Rock","Download"
